requested_origin,forecast_origin_date,target_start,target_end,forecast_rows,split,assignment_reason
2023-06-01,2023-06-01,2023-06-02,2023-06-30,20,final_test,all_target_dates_contained
2023-07-01,2023-06-30,2023-07-03,2023-07-28,20,final_test,all_target_dates_contained
2023-08-01,2023-08-01,2023-08-02,2023-08-30,20,final_test,all_target_dates_contained
2023-09-01,2023-09-01,2023-09-04,2023-10-05,20,final_test,all_target_dates_contained
2023-10-01,2023-09-27,2023-10-04,2023-11-01,20,final_test,all_target_dates_contained
2023-11-01,2023-11-01,2023-11-02,2023-11-29,20,final_test,all_target_dates_contained
2023-12-01,2023-12-01,2023-12-04,2024-01-02,20,final_test,all_target_dates_contained
2024-01-01,2023-12-29,2024-01-02,2024-01-29,20,final_test,all_target_dates_contained
2024-02-01,2024-02-01,2024-02-02,2024-03-05,20,final_test,all_target_dates_contained
2024-03-01,2024-02-29,2024-03-04,2024-03-29,20,final_test,all_target_dates_contained
2024-04-01,2024-04-01,2024-04-02,2024-04-30,20,final_test,all_target_dates_contained
2024-05-01,2024-04-30,2024-05-02,2024-05-31,20,final_test,all_target_dates_contained
2024-06-01,2024-05-31,2024-06-03,2024-07-01,20,final_test,all_target_dates_contained
2024-07-01,2024-07-01,2024-07-02,2024-07-29,20,final_test,all_target_dates_contained
2024-08-01,2024-08-01,2024-08-02,2024-08-30,20,final_test,all_target_dates_contained
2024-09-01,2024-08-30,2024-09-02,2024-10-04,20,final_test,all_target_dates_contained
2024-10-01,2024-09-30,2024-10-02,2024-10-31,20,final_test,all_target_dates_contained
2024-11-01,2024-11-01,2024-11-04,2024-11-29,20,final_test,all_target_dates_contained
2024-12-01,2024-11-29,2024-12-02,2024-12-30,20,final_test,all_target_dates_contained
2025-01-01,2024-12-31,2025-01-02,2025-02-04,20,final_test,all_target_dates_contained
2025-02-01,2025-01-31,2025-02-03,2025-02-28,20,final_test,all_target_dates_contained
2025-03-01,2025-02-28,2025-03-04,2025-03-31,20,final_test,all_target_dates_contained
2025-04-01,2025-04-01,2025-04-02,2025-04-29,20,final_test,all_target_dates_contained
2025-05-01,2025-04-30,2025-05-02,2025-06-02,20,final_test,all_target_dates_contained
2025-06-01,2025-05-30,2025-06-02,2025-07-01,20,final_test,all_target_dates_contained
2025-07-01,2025-07-01,2025-07-02,2025-07-29,20,final_test,all_target_dates_contained
2025-08-01,2025-08-01,2025-08-04,2025-09-01,20,final_test,all_target_dates_contained
2025-09-01,2025-09-01,2025-09-02,2025-09-29,20,final_test,all_target_dates_contained
2025-10-01,2025-10-01,2025-10-02,2025-11-05,20,final_test,all_target_dates_contained
2025-11-01,2025-10-31,2025-11-03,2025-11-28,20,final_test,all_target_dates_contained
2025-12-01,2025-12-01,2025-12-02,2025-12-30,20,final_test,all_target_dates_contained
